id,nombre,precio,codigo
1,Sustrato cactus y suculentas,8990,A100000000A
2,Sustrato para macetas,8990,A100000001A
3,Monstera,15000,A100000002A
4,Potos,8990,A100000003A
5,Lirio de la Paz,5500,A100000004A
6,Filodendro,18500,A100000005A
7,Violeta,7990,A100000006A
8,Rosas,20000,A100000007A
9,Manzanilla,3500,A100000008A
10,Sustrato cactus y suculentas,8990,A100000000A
11,Sustrato para macetas,8990,A100000001A
12,Monstera,15000,A100000002A
13,Potos,8990,A100000003A
14,Lirio de la Paz,5500,A100000004A
15,Filodendro,18500,A100000005A
16,Violeta,7990,A100000006A
17,Rosas,20000,A100000007A
18,Manzanilla,3500,A100000008A
19,Filodendro,18500,A100000005A
20,Violeta,7990,A100000006A
21,Rosas,20000,A100000007A
22,Manzanilla,3500,A100000008A
23,Sustrato cactus y suculentas,8990,A100000000A
24,Sustrato para macetas,8990,A100000001A
25,Monstera,15000,A100000002A
26,Potos,8990,A100000003A
27,Lirio de la Paz,5500,A100000004A
28,Filodendro,18500,A100000005A
29,Sustrato cactus y suculentas,8990,A100000000A
30,Sustrato para macetas,8990,A100000001A
31,Sustrato cactus y suculentas,8990,A100000000A
32,Sustrato cactus y suculentas,8990,A100000000A
33,Sustrato cactus y suculentas,8990,A100000000A
34,Sustrato cactus y suculentas,8990,A100000000A
35,Sustrato cactus y suculentas,8990,A100000000A
